run_id,pipeline_name,layer,source,target,start_ts,end_ts,status,input_rows,output_rows,error_count,error_summary
batch_20260607_163530,bronze_ingest_offline_customers,bronze,data/source/offline/customers.parquet,data/bronze/raw_customers,2026-06-07T16:35:30.287971+00:00,2026-06-07T16:35:30.762479+00:00,SUCCESS,10000,10000,0,
batch_20260607_163530,bronze_ingest_offline_accounts,bronze,data/source/offline/accounts.parquet,data/bronze/raw_accounts,2026-06-07T16:35:30.766495+00:00,2026-06-07T16:35:31.078689+00:00,SUCCESS,14670,14670,0,
batch_20260607_163530,bronze_ingest_offline_cards,bronze,data/source/offline/cards.parquet,data/bronze/raw_cards,2026-06-07T16:35:31.084879+00:00,2026-06-07T16:35:31.439192+00:00,SUCCESS,11002,11002,0,
batch_20260607_163530,bronze_ingest_offline_merchants,bronze,data/source/offline/merchants.parquet,data/bronze/raw_merchants,2026-06-07T16:35:31.442140+00:00,2026-06-07T16:35:31.713588+00:00,SUCCESS,3000,3000,0,
batch_20260607_163530,bronze_ingest_offline_historical_transactions,bronze,data/source/offline/historical_transactions.parquet,data/bronze/raw_historical_transactions,2026-06-07T16:35:31.715049+00:00,2026-06-07T16:35:36.134183+00:00,SUCCESS,367200,367200,0,
batch_20260607_163530,bronze_ingest_offline_fraud_cases,bronze,data/source/offline/fraud_cases.parquet,data/bronze/raw_fraud_cases,2026-06-07T16:35:36.225694+00:00,2026-06-07T16:35:36.524491+00:00,SUCCESS,4236,4236,0,
batch_20260607_163530,bronze_ingest_stream_transaction_events,bronze,data/source/stream/transaction_events.jsonl,data/bronze/raw_transaction_events,2026-06-07T16:35:36.526693+00:00,2026-06-07T16:36:09.196426+00:00,SUCCESS,365400,365400,0,
batch_20260607_163530,bronze_ingest_stream_login_events,bronze,data/source/stream/login_events.jsonl,data/bronze/raw_login_events,2026-06-07T16:36:10.588208+00:00,2026-06-07T16:36:14.385359+00:00,SUCCESS,80000,80000,0,
batch_20260607_163530,bronze_ingest_stream_device_events,bronze,data/source/stream/device_events.jsonl,data/bronze/raw_device_events,2026-06-07T16:36:14.448006+00:00,2026-06-07T16:36:14.955406+00:00,SUCCESS,15000,15000,0,
batch_20260607_163530,bronze_ingest_stream_fraud_alert_events,bronze,data/source/stream/fraud_alert_events.jsonl,data/bronze/raw_fraud_alert_events,2026-06-07T16:36:14.965633+00:00,2026-06-07T16:36:17.078605+00:00,SUCCESS,90240,90240,0,
batch_20260607_163530,silver_transform_customers,silver,data/bronze/raw_customers,data/silver/stg_customers,2026-06-07T16:36:17.160606+00:00,2026-06-07T16:36:17.586721+00:00,SUCCESS,10000,10000,0,
batch_20260607_163530,silver_transform_accounts,silver,data/bronze/raw_accounts,data/silver/stg_accounts,2026-06-07T16:36:17.590016+00:00,2026-06-07T16:36:18.020106+00:00,SUCCESS,14670,14670,0,
batch_20260607_163530,silver_transform_cards,silver,data/bronze/raw_cards,data/silver/stg_cards,2026-06-07T16:36:18.023133+00:00,2026-06-07T16:36:18.423265+00:00,SUCCESS,11002,11002,0,
batch_20260607_163530,silver_transform_merchants,silver,data/bronze/raw_merchants,data/silver/stg_merchants,2026-06-07T16:36:18.426149+00:00,2026-06-07T16:36:18.708810+00:00,SUCCESS,3000,3000,0,
batch_20260607_163530,silver_transform_transactions,silver,data/bronze/raw_historical_transactions,data/silver/stg_transactions,2026-06-07T16:36:18.710742+00:00,2026-06-07T16:36:25.723871+00:00,SUCCESS,367200,360000,0,
batch_20260607_163530,silver_transform_fraud_cases,silver,data/bronze/raw_fraud_cases,data/silver/stg_fraud_cases,2026-06-07T16:36:25.841859+00:00,2026-06-07T16:36:26.205778+00:00,SUCCESS,4236,4236,0,
batch_20260607_163530,silver_transform_transaction_events,silver,data/bronze/raw_transaction_events,data/silver/stg_transaction_events,2026-06-07T16:36:26.207640+00:00,2026-06-07T16:36:32.330683+00:00,SUCCESS,365400,360000,0,
batch_20260607_163530,silver_transform_login_events,silver,data/bronze/raw_login_events,data/silver/stg_login_events,2026-06-07T16:36:32.429469+00:00,2026-06-07T16:36:33.461370+00:00,SUCCESS,80000,80000,0,
batch_20260607_163530,silver_transform_device_events,silver,data/bronze/raw_device_events,data/silver/stg_device_events,2026-06-07T16:36:33.479128+00:00,2026-06-07T16:36:33.999273+00:00,SUCCESS,15000,15000,0,
batch_20260607_163530,silver_transform_fraud_alert_events,silver,data/bronze/raw_fraud_alert_events,data/silver/stg_fraud_alert_events,2026-06-07T16:36:34.005412+00:00,2026-06-07T16:36:35.869507+00:00,SUCCESS,90240,90240,0,
batch_20260607_163530,gold_build_dim_customer,gold,data/silver,data/gold/dim_customer.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:40.793106+00:00,SUCCESS,,10000,0,
batch_20260607_163530,gold_build_dim_account,gold,data/silver,data/gold/dim_account.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:40.910948+00:00,SUCCESS,,14670,0,
batch_20260607_163530,gold_build_dim_card,gold,data/silver,data/gold/dim_card.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:41.086903+00:00,SUCCESS,,11002,0,
batch_20260607_163530,gold_build_dim_merchant,gold,data/silver,data/gold/dim_merchant.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:41.278805+00:00,SUCCESS,,3000,0,
batch_20260607_163530,gold_build_dim_date,gold,data/silver,data/gold/dim_date.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:41.345972+00:00,SUCCESS,,92,0,
batch_20260607_163530,gold_build_dim_channel,gold,data/silver,data/gold/dim_channel.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:41.454014+00:00,SUCCESS,,6,0,
batch_20260607_163530,gold_build_fact_transaction,gold,data/silver + data/gold/dimensions,data/gold/fact_transaction.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:57.547510+00:00,SUCCESS,,360000,0,
batch_20260607_163530,gold_build_fact_login_event,gold,data/silver + data/gold/dimensions,data/gold/fact_login_event.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:57.835928+00:00,SUCCESS,,80000,0,
batch_20260607_163530,gold_build_fact_device_event,gold,data/silver + data/gold/dimensions,data/gold/fact_device_event.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:57.954844+00:00,SUCCESS,,15000,0,
batch_20260607_163530,gold_build_fact_fraud_alert,gold,data/silver + data/gold/dimensions,data/gold/fact_fraud_alert.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:36:58.241078+00:00,SUCCESS,,90240,0,
batch_20260607_163530,gold_build_obt_transaction_risk,gold,data/gold/facts + data/gold/dimensions,data/gold/obt_transaction_risk.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:37:38.077255+00:00,SUCCESS,,360000,0,
batch_20260607_163530,gold_build_obt_customer_risk_profile,gold,data/gold/facts + data/gold/dimensions,data/gold/obt_customer_risk_profile.parquet,2026-06-07T16:36:35.905446+00:00,2026-06-07T16:37:38.277737+00:00,SUCCESS,,10000,0,
batch_20260607_163530,gold_build_feat_customer_30d,gold_feature,data/gold/facts + data/gold/obt,data/gold/feat_customer_30d.parquet,2026-06-07T16:37:38.279490+00:00,2026-06-07T16:37:40.478178+00:00,SUCCESS,,10000,0,
